id,stripe_subscription_id,user_id,plan_id,start_date,end_date,cancel_mode,status,created_date,updated_date,created_by,updated_by
03367ee4-55fa-4990-a55b-970f6f1f3efc,sub_1PWbnjCZiT41qxc1aZwuoZWE,7bdfee58-6a46-4d4a-88f5-99f0e39274f3,03,2024-06-28 10:13:09,2024-07-12 10:17:51,IMMEDIATE,CANCELED,2024-06-28 10:13:09,2024-07-12 10:17:51,7bdfee58-6a46-4d4a-88f5-99f0e39274f3,7bdfee58-6a46-4d4a-88f5-99f0e39274f3
235e1f04-1e85-4405-b0bd-c6578a69aee7,sub_1PVXzxCZiT41qxc1RiiS3mzy,61703f25-0098-4ed7-bc9f-e8f65e8953f8,01,2024-06-25 11:57:23,NULL,NULL,INCOMPLETE_EXPIRED,2024-06-25 11:57:23,2024-06-25 12:01:10,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
27bad59f-dc3b-4417-af86-77a0fda1753a,sub_1PaBg1CZiT41qxc1DIzhTWcb,8b3c1d1b-5368-44fd-a7ee-c2c7e93dec07,03,2024-07-08 07:07:59,2024-07-22 07:10:17,IMMEDIATE,CANCELED,2024-07-08 07:07:59,2024-07-22 07:10:17,8b3c1d1b-5368-44fd-a7ee-c2c7e93dec07,8b3c1d1b-5368-44fd-a7ee-c2c7e93dec07
27d5d9ff-a013-4a7b-badf-51df70d1e0bc,sub_1O7JEaCZiT41qxc1OnrJTYn4,61703f25-0098-4ed7-bc9f-e8f65e8953f8,01,2023-10-31 14:48:00,2023-10-31 14:49:54,IMMEDIATE,CANCELED,2023-10-31 14:48:01,2023-10-31 14:49:54,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
2d116aac-090e-4101-adec-101b4e4a5476,sub_1O7xjUCZiT41qxc12D6G2BrP,61703f25-0098-4ed7-bc9f-e8f65e8953f8,01,2023-11-02 10:02:36,2023-11-03 11:00:36,IMMEDIATE,CANCELED,2023-11-02 10:02:37,2023-11-03 11:00:36,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
3304ff56-a180-48b7-bf4e-654d24d14d63,sub_1PWbuLCZiT41qxc11oVfiX9R,8ada57cf-a0ca-44f3-97e6-f77c52be4249,03,2024-06-28 10:19:59,2024-07-12 10:26:17,IMMEDIATE,CANCELED,2024-06-28 10:19:59,2024-07-12 10:26:17,8ada57cf-a0ca-44f3-97e6-f77c52be4249,8ada57cf-a0ca-44f3-97e6-f77c52be4249
464f2749-4b69-4390-b290-bcea07a1ef86,sub_1O9Q6SCZiT41qxc14azWyLiG,476dee15-d552-4120-b525-30cb64f97eee,04,2023-11-06 10:32:20,2023-11-06 10:33:07,IMMEDIATE,CANCELED,2023-11-06 10:32:22,2023-11-06 10:33:07,476dee15-d552-4120-b525-30cb64f97eee,476dee15-d552-4120-b525-30cb64f97eee
4843c3aa-f787-4ff8-b800-1470ac6b1507,sub_1O7xhoCZiT41qxc1FRWlg0ll,61703f25-0098-4ed7-bc9f-e8f65e8953f8,03,NULL,NULL,NULL,INCOMPLETE_EXPIRED,2023-11-02 10:00:53,2023-11-03 09:04:55,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
508ea410-cc38-40af-b64b-4bd4ce645fdd,sub_1O8KnQCZiT41qxc1h1FKeYrE,29f0fa58-ec91-4e44-aace-34c2a75ab44e,03,2023-11-03 10:40:12,2023-11-17 10:41:03,IMMEDIATE,CANCELED,2023-11-03 10:40:13,2023-11-17 10:41:03,29f0fa58-ec91-4e44-aace-34c2a75ab44e,29f0fa58-ec91-4e44-aace-34c2a75ab44e
66c6bb17-2a87-4807-95a5-06e567d505c1,sub_1Paz6YCZiT41qxc1FkX90j98,92b1db1f-a886-416d-98d7-ae11beb92dbe,03,2024-07-10 11:54:40,2024-07-24 11:55:30,IMMEDIATE,CANCELED,2024-07-10 11:54:40,2024-07-24 11:55:30,92b1db1f-a886-416d-98d7-ae11beb92dbe,92b1db1f-a886-416d-98d7-ae11beb92dbe
