id,worker_id,job_detail_id,added_by,status,created_date,updated_date,created_by,updated_by
007952ae-463f-4171-9f85-179c1df4b78a,67ef48a7-3430-4c29-873e-75cee189c472,acafdca6-623f-4a89-b94c-728b87fbea97,67ef48a7-3430-4c29-873e-75cee189c472,UNSHORTLISTED,2024-04-26 06:54:01,2024-04-26 06:54:01,67ef48a7-3430-4c29-873e-75cee189c472,67ef48a7-3430-4c29-873e-75cee189c472
00a4e551-c9e4-4aff-9d46-383eb0c70398,67ef48a7-3430-4c29-873e-75cee189c472,ac88791d-6ff2-4b13-921e-81d0bf5865cd,67ef48a7-3430-4c29-873e-75cee189c472,HIRED,2024-02-29 09:28:30,2024-02-29 09:29:35,67ef48a7-3430-4c29-873e-75cee189c472,67ef48a7-3430-4c29-873e-75cee189c472
00e1d1f9-6743-4462-aa60-b1b33e5b188d,c9a92ec3-4ed8-4db2-b186-cb54e9864a29,c33e547a-b10d-4f53-848b-ccaed693383b,c9a92ec3-4ed8-4db2-b186-cb54e9864a29,OFFERED,2024-04-12 05:15:54,2024-07-08 10:40:25,c9a92ec3-4ed8-4db2-b186-cb54e9864a29,c9a92ec3-4ed8-4db2-b186-cb54e9864a29
00e254d0-18e8-4822-8424-5f8f744111a4,33b084f8-5018-401d-a23e-352419099be5,d35fedce-4c69-4f15-a691-0f8cd0486be9,33b084f8-5018-401d-a23e-352419099be5,TERMINATED,2024-02-08 06:57:47,2024-02-08 06:58:39,33b084f8-5018-401d-a23e-352419099be5,33b084f8-5018-401d-a23e-352419099be5
0162a390-d404-47f3-8218-21f94ab212ce,9e11456c-f0f6-48c7-9cbf-6f4447379727,38882b02-4ba2-41af-9d23-4a9eed70d932,9e11456c-f0f6-48c7-9cbf-6f4447379727,COMPLETED,2024-02-20 10:15:50,2024-03-14 12:35:03,9e11456c-f0f6-48c7-9cbf-6f4447379727,9e11456c-f0f6-48c7-9cbf-6f4447379727
018efce9-97be-423a-b449-e1658e43d071,8a251f2b-92ec-4363-ac52-5e59c5755d05,213ad7ab-fc36-4573-912b-d33a2e1cedcc,8a251f2b-92ec-4363-ac52-5e59c5755d05,HIRED,2024-04-26 04:51:21,2024-04-26 04:52:19,8a251f2b-92ec-4363-ac52-5e59c5755d05,8a251f2b-92ec-4363-ac52-5e59c5755d05
01dcb972-27b1-4ece-92e5-b6993e44c996,86605b67-2a3f-42aa-838e-bf5fecb764fe,027f3513-ce7a-4d5d-8ff2-335435b19bc0,c8367fc3-d459-4b83-b48b-37521e6d4795,INTERVIEWING,2024-04-12 05:50:56,2024-04-12 05:53:21,c8367fc3-d459-4b83-b48b-37521e6d4795,c8367fc3-d459-4b83-b48b-37521e6d4795
025322ff-d6a9-47ee-a689-f3f23c9356af,4a5d5957-632c-43b9-979c-6a3c384f4e13,bdb55cf8-5490-4ac0-84b4-034470c833b2,4a5d5957-632c-43b9-979c-6a3c384f4e13,SHORTLISTED,2024-07-05 10:34:02,2024-07-10 10:20:46,4a5d5957-632c-43b9-979c-6a3c384f4e13,4a5d5957-632c-43b9-979c-6a3c384f4e13
032f1f44-8315-4ad2-81cd-bf4140209f03,54fea194-4220-40ff-83dd-00c5a946dc25,84e4cfa3-0c23-4c62-a76b-bad1b946d703,54fea194-4220-40ff-83dd-00c5a946dc25,TERMINATED,2024-02-01 05:44:41,2024-02-12 11:37:27,54fea194-4220-40ff-83dd-00c5a946dc25,54fea194-4220-40ff-83dd-00c5a946dc25
037dc66c-42e7-4775-9caa-8190e31ab9ba,33b084f8-5018-401d-a23e-352419099be5,9f5625af-8059-4d74-aeaa-e8a1afe37f62,33b084f8-5018-401d-a23e-352419099be5,OFFERED,2024-06-11 10:55:49,2024-06-11 10:57:40,33b084f8-5018-401d-a23e-352419099be5,33b084f8-5018-401d-a23e-352419099be5
03bcb069-897e-47a9-bc89-367025a70f32,bfe202b0-5788-4e8f-a305-b5faa2924e5f,f4bbcd14-cfdf-42a8-b732-eaa18771d585,61703f25-0098-4ed7-bc9f-e8f65e8953f8,OFFERED,2024-06-26 06:52:33,2024-06-26 06:53:19,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
0538e90b-0ec3-49d0-bae2-ef8c3174b8e1,ec0770dd-193f-41fc-b872-61b86530a4e8,4e4f3ece-a631-4fae-a2ca-83b0723283eb,61703f25-0098-4ed7-bc9f-e8f65e8953f8,UNSHORTLISTED,2024-08-27 06:32:15,2024-08-27 06:32:15,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
057a7131-6168-4bf4-bc47-e7d9c389205a,9e11456c-f0f6-48c7-9cbf-6f4447379727,ccdc6a00-5d0e-46a3-b983-dc040391e03b,9e11456c-f0f6-48c7-9cbf-6f4447379727,OFFERED,2024-06-25 10:50:15,2024-06-25 10:50:52,9e11456c-f0f6-48c7-9cbf-6f4447379727,9e11456c-f0f6-48c7-9cbf-6f4447379727
05a9bdc8-af05-449a-813f-d4c6c02557a9,67ef48a7-3430-4c29-873e-75cee189c472,da98f9b6-ea82-46f9-9e0c-83f448a2818e,61703f25-0098-4ed7-bc9f-e8f65e8953f8,HIRED,2024-07-08 08:44:32,2024-07-08 08:45:19,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
