id,created_by,created_date,updated_by,updated_date,approved_date,cost,requested_date,status,client_id,jobsite_id,payment_milestone_id,payment_milestone_bid_id,project_detail_id,subcontractor_id
001a23f5-2a61-48b8-bfe0-38517ec858fb,NULL,2025-04-30 06:00:54,NULL,2025-04-30 06:39:34,NULL,24280,2025-04-30 06:30:55,REJECTED,c0f385bf-790f-431d-8dc4-1bf83ba3a392,0557d31c-70d7-4084-8d0c-cf9a1f7fb4c4,edb8f480-50d5-43e6-ae4d-dd1871036979,04c14607-db98-46aa-b8ac-8a0178aa7cfe,64c1e657-18d7-4898-9bba-836061f604bc,6fdfa82e-6825-4658-a162-a518011bffd8
0093fb89-da9e-4db0-9b4e-70937aeed706,NULL,2024-08-16 07:20:15,NULL,2024-08-16 07:20:15,NULL,678,NULL,NOT_SUBMITTED,c8367fc3-d459-4b83-b48b-37521e6d4795,043f6693-fba1-4687-a5c0-5772af715b59,fa1ef9ef-a818-4446-afe1-834f05ea4cc5,9484f5bf-4541-4930-bfce-4a9bd3748e79,dd216be6-eb63-4ccd-b7c0-8523728cf302,a3d2b1e9-d64f-46b7-85f5-af83442a5547
01ed06c2-31f9-4765-974e-856b1e871727,NULL,2024-08-22 05:42:14,NULL,2024-08-22 05:42:14,NULL,15555540,NULL,NOT_SUBMITTED,b91189e3-47b3-44b1-a685-0252e97c7d1c,4187013b-d1c5-4fcf-bbf8-04eb187fea4a,1547c1e4-3376-49e1-9384-6f6afcd888da,NULL,78f3ee77-0d06-4391-85a5-bb36eca4a377,73c35bda-c637-4513-a758-b9491df12540
046e09e5-d351-4603-a7c5-1662cc6b2317,NULL,2024-02-12 06:38:39,NULL,2024-02-12 06:38:39,NULL,65,NULL,NOT_SUBMITTED,c8367fc3-d459-4b83-b48b-37521e6d4795,5610ed09-7836-4963-9ec9-352b4ebe183e,dd3a36af-ae97-4514-a7fa-86c91ede57f5,f8e003f4-7123-42a1-a70b-d1de020f9281,2e402574-1412-4b09-a72c-3b5f821f0fd7,a3d2b1e9-d64f-46b7-85f5-af83442a5547
04797784-f24f-4df4-8ab7-b7b75d54e2fb,NULL,2024-04-23 09:43:50,NULL,2024-04-23 09:43:50,NULL,60,NULL,NOT_SUBMITTED,b91189e3-47b3-44b1-a685-0252e97c7d1c,de5cecf3-918b-484c-a569-015e776e0cf6,15249415-9b87-4a90-a1e3-534f17db956b,4833944f-c721-4c72-b4e4-af0f8de8d3cd,8f18777d-a3eb-4a3c-a47a-b8a84f7c11d8,8e9967a6-5915-45d4-a25e-11b1876d18df
048f8f25-914f-4821-85a6-5bf10a9d0468,NULL,2024-03-18 10:07:24,NULL,2024-03-18 10:07:24,NULL,91,NULL,NOT_SUBMITTED,c8367fc3-d459-4b83-b48b-37521e6d4795,4ac413e5-09a5-451f-b71b-d50a0e6aed81,91b76931-9db3-442d-a562-77560ce0c3d1,42879cec-48b4-4cbb-8d84-257f74c87966,239f86b3-c918-45cf-a7ee-8f527f3d97e7,c1e99329-85c4-457f-9e56-40760d57aff5
05d21efb-c041-4caf-9306-f2291116cc49,NULL,2024-07-16 04:41:15,NULL,2024-07-16 04:41:15,NULL,12,NULL,NOT_SUBMITTED,c8367fc3-d459-4b83-b48b-37521e6d4795,ff5bf80a-0c00-4a29-8188-501b98327ca0,ec53efea-f408-4570-bf55-6e5b5391335a,1f0b4e92-b7eb-404f-840e-914d4eb1f547,f04bfb43-03c4-4830-9bcd-2214884355a5,a3d2b1e9-d64f-46b7-85f5-af83442a5547
067f8fc8-aa1a-4e52-b440-43f9f7f4e83f,NULL,2025-04-30 06:00:53,NULL,2025-04-30 06:39:34,NULL,24280,2025-04-30 06:29:34,REJECTED,c0f385bf-790f-431d-8dc4-1bf83ba3a392,0557d31c-70d7-4084-8d0c-cf9a1f7fb4c4,328f8300-0924-468c-aaa7-ca216b905792,eab9130f-9671-4fd6-bedd-5bd1ef16779b,64c1e657-18d7-4898-9bba-836061f604bc,6fdfa82e-6825-4658-a162-a518011bffd8
06a16461-0ed0-4b26-9104-55ca38aec0ca,NULL,2024-08-22 11:42:58,NULL,2024-08-22 11:42:58,NULL,444.4,NULL,NOT_SUBMITTED,c8367fc3-d459-4b83-b48b-37521e6d4795,f375a268-e713-4c54-a9f7-aadcd3412722,3ef3e645-15fa-48fe-9c0f-34c13c8fa543,NULL,1c01fdee-119b-4d6d-9635-628c6c9f9586,c1e99329-85c4-457f-9e56-40760d57aff5
06b28e3d-dab8-4a6e-b3ac-b3eab14beb04,NULL,2024-01-23 10:41:28,NULL,2024-01-23 10:41:28,NULL,26,NULL,NOT_SUBMITTED,c8367fc3-d459-4b83-b48b-37521e6d4795,e3eff765-665a-4f5e-8e7a-c342ff4337eb,ae2e32e9-a3d5-483d-8868-4182a689a89b,7807fe02-8968-4bab-b33b-703b17821e46,1939cdcf-b866-4c62-8024-e491450e808c,c1e99329-85c4-457f-9e56-40760d57aff5
0867aeb3-b1dd-4d94-9b36-c4e232a732b4,NULL,2024-07-31 10:58:45,NULL,2024-07-31 11:03:22,2024-07-31 11:03:22,2,2024-07-31 11:02:04,APPROVED,b91189e3-47b3-44b1-a685-0252e97c7d1c,89c31e40-66a5-4dc0-9b5d-dbbd5d1d157e,e023bc25-4457-41cb-8a4e-176457ebc9a0,1e7da160-1dc8-4b0e-acd2-971bdff49121,edd3bb43-c2de-4da6-a884-0e5b48a6851a,c1e99329-85c4-457f-9e56-40760d57aff5
08d0e639-76d2-4495-aef9-b151720a26cc,NULL,2024-07-03 10:35:38,NULL,2024-07-03 10:35:38,NULL,49.9,NULL,NOT_SUBMITTED,c8367fc3-d459-4b83-b48b-37521e6d4795,40df7dbc-1771-4bb7-9b9b-c5d46e942ca0,e220a323-d67b-41be-b3de-89587916556d,928bcf77-fc11-4dc1-a00f-29501df35eca,720fac53-bab1-47a1-a671-c82a39dfa494,a3d2b1e9-d64f-46b7-85f5-af83442a5547
094a6f81-bb1a-4ccf-b879-8e138e3ce791,NULL,2024-02-01 10:54:17,NULL,2024-03-18 11:51:34,NULL,547.6803278688525,2024-03-18 11:51:34,REQUESTED,c8367fc3-d459-4b83-b48b-37521e6d4795,a0a73635-5401-410b-8ec6-f50113ff5881,27868323-7b1f-4296-8204-c1e55756d2cc,831a8034-bb64-449f-9a5c-3e355d72a8b6,f7e09a53-c991-4eea-b00a-5e8f2cf6d589,c1e99329-85c4-457f-9e56-40760d57aff5
0a037c71-167a-4c1e-bf4d-4fbf34495c11,NULL,2024-07-03 09:30:50,NULL,2024-07-03 09:30:50,NULL,736,NULL,NOT_SUBMITTED,c8367fc3-d459-4b83-b48b-37521e6d4795,dc43b3d7-b2e0-459e-87b7-9fa301a8b83e,8c538bcd-7fc2-4935-907a-1609218771cc,b38c6c05-b808-4c4a-a9ce-b9fa8d597de9,0ee0d217-8bea-4cc9-a706-7db84a2cd1ae,a3d2b1e9-d64f-46b7-85f5-af83442a5547
0a0918d8-3acb-4f99-83d7-b38594f823c2,NULL,2025-04-29 11:40:54,NULL,2025-04-29 12:31:58,2025-04-29 12:31:58,188000,2025-04-29 12:28:22,APPROVED,c0f385bf-790f-431d-8dc4-1bf83ba3a392,87a364a5-c7b2-4f94-8897-35d5bb8453e0,055b9811-aec6-4714-8609-f403be4954fa,a6423224-9a03-41f2-99c1-5fa290ac99c2,5e4b099b-929c-4436-bfb0-a810ad2c367f,2dc73d61-8642-42b9-bcea-817ee1d1abbf
0a119654-5b8e-46ab-9bdf-c000025f248d,NULL,2024-07-08 04:43:17,NULL,2024-07-08 04:54:02,2024-07-08 04:54:02,120,2024-07-08 04:53:46,APPROVED,b91189e3-47b3-44b1-a685-0252e97c7d1c,a29f47ec-f8ee-4ae8-b78d-122f243d2048,3467dc22-3719-4c76-b891-3e4ceb7a0deb,a60fdead-52c9-41a5-8566-cb8a42e6d4de,600b6823-b312-4a8e-9361-44260444d316,8e9967a6-5915-45d4-a25e-11b1876d18df
0a1b6ab7-5ba9-4d79-9d3a-670b660a59ca,NULL,2024-03-21 05:32:32,NULL,2024-03-21 06:13:48,2024-03-21 06:13:48,865.0519031141869,2024-03-21 06:04:55,APPROVED,c8367fc3-d459-4b83-b48b-37521e6d4795,ba6afd19-5ba1-4b36-b469-a3a336df33a2,0e167ba4-721e-4150-a486-3c5302bffc35,NULL,c0a05528-2e22-4862-8e94-f09643df265c,1c414d9d-c37d-47cd-9f7d-882d51abb8e6
0a4ec53b-ec00-443c-9147-bda955869a29,NULL,2024-03-26 09:14:22,NULL,2024-08-22 09:20:17,NULL,1025,2024-08-22 09:02:53,REJECTED,c8367fc3-d459-4b83-b48b-37521e6d4795,84d2f175-2b47-423e-8137-3df5fd2a534d,d04ea3b1-c020-49ad-9953-4e99243bacb1,12d7e8d3-e566-416d-b749-d51a91f4bb58,c7ea5e3d-4859-484c-91c9-c7d65b5ad650,8e9967a6-5915-45d4-a25e-11b1876d18df
