id,created_by,created_date,updated_by,updated_date,can_modify,can_view,menu_name,user_id
32c13841-9d8f-49d3-9095-8a417fe947c5,NULL,NULL,NULL,2024-07-08 06:40:33,_binary '',_binary '',Workers,c12ae087-09e6-4f55-b003-36936118dc09
35ed08d8-05c6-481e-855b-c66f572c539a,NULL,2024-07-05 13:11:18,01,2024-07-05 13:33:11,_binary '0',_binary '0',Reports,c97699af-67a5-4e1b-b7c9-d3161763475e
398311af-cfbb-4634-a58a-353a16198403,NULL,2023-06-12 12:19:13,NULL,2023-06-12 12:19:13,_binary '0',_binary '0',Workers,3dd11f69-9760-485f-aff4-229ed77fd814
3b8229b4-7eaa-4bd6-8c9f-4be0827a6390,NULL,NULL,01,2024-06-24 07:30:54,_binary '0',_binary '',Jobs,90dfd38a-26c0-4af5-9b00-72e614d11753
3ed37017-c3b0-4b89-bb46-f63cff8f5f80,NULL,2024-06-28 06:03:12,NULL,2024-06-28 06:03:12,_binary '0',_binary '',Projects,75139b0b-96c7-41e1-ac8d-803df118a32a
410dd689-5cd4-4018-b346-88e0a85b7725,NULL,2024-07-05 13:11:18,01,2024-07-05 13:33:11,_binary '0',_binary '0',Masters,c97699af-67a5-4e1b-b7c9-d3161763475e
41c27d22-a6ef-494d-a96a-c809d89fdf31,NULL,2024-06-28 06:03:12,NULL,2024-06-28 06:03:13,_binary '0',_binary '',Jobs,75139b0b-96c7-41e1-ac8d-803df118a32a
4358a857-c24e-4fc6-9c4a-13e2fed3fe25,NULL,NULL,NULL,2023-07-12 05:21:22,_binary '0',_binary '0',Reports,456fd968-7d31-4963-ad9c-2eec376720cf
47d90cea-461a-43ef-b36f-30abc2043782,NULL,2023-07-28 06:47:42,NULL,2023-07-28 06:47:42,_binary '0',_binary '',Clients,18c191bf-3acf-42b7-a6f9-269d629dd762
4bc0bf99-2a15-4bae-86a0-d9da892f4a67,NULL,2023-07-13 09:03:31,NULL,2023-07-13 09:03:31,_binary '',_binary '',Workers,c53045b3-2e6d-44e8-8d9b-43b3fc077b89
