id,created_by,created_date,updated_by,updated_date,certificate_id,job_bid_detail_id
0dcad60d-1424-4397-93a1-b20cec4ccb0c,54fea194-4220-40ff-83dd-00c5a946dc25,2023-07-17 12:57:02,54fea194-4220-40ff-83dd-00c5a946dc25,2023-07-17 12:57:02,eea16b21-d94f-4add-a396-5bd9fbceb2a7,beb54ff0-7480-4ce1-9620-c15c38999a7e
12c5e1da-64bc-4aa2-81d2-0af926368c42,9e11456c-f0f6-48c7-9cbf-6f4447379727,2022-09-28 04:57:20,9e11456c-f0f6-48c7-9cbf-6f4447379727,2022-09-28 04:57:20,eea16b21-d94f-4add-a396-5bd9fbceb2a7,fec6c828-f459-401e-ad18-983d479bb919
26be59e8-3712-4566-a797-c7429234a22b,54fea194-4220-40ff-83dd-00c5a946dc25,2022-12-30 05:41:55,54fea194-4220-40ff-83dd-00c5a946dc25,2022-12-30 05:41:55,1244441b-1ac0-48f3-b96c-b56ba2e840ba,8aed4286-0747-4f38-9450-e15ba67cd933
26e3d6e2-c141-404e-9509-beb63494f4f5,9e11456c-f0f6-48c7-9cbf-6f4447379727,2022-01-07 16:46:18,9e11456c-f0f6-48c7-9cbf-6f4447379727,2022-01-07 16:46:18,bc6f91d4-59fb-4942-a046-d002ac538605,eabde091-bcc7-43a0-9c27-3beb549b87a8
4495117e-e18c-49d5-8c85-90416a03abd0,54fea194-4220-40ff-83dd-00c5a946dc25,2023-03-23 09:19:18,54fea194-4220-40ff-83dd-00c5a946dc25,2023-03-23 09:19:18,1244441b-1ac0-48f3-b96c-b56ba2e840ba,8ff93e39-7b68-4109-8ec1-c5a474562e88
507c842f-9cc2-4ad4-97b7-c5b31451a362,54fea194-4220-40ff-83dd-00c5a946dc25,2022-12-16 09:35:24,54fea194-4220-40ff-83dd-00c5a946dc25,2022-12-16 09:35:24,96470dd2-535c-4884-b49a-5b788ece4c47,52336539-210d-4b28-9efa-1e35661973c6
5dc2849c-1c66-46e7-b06e-7c218901db1b,9e11456c-f0f6-48c7-9cbf-6f4447379727,2022-03-23 13:50:10,9e11456c-f0f6-48c7-9cbf-6f4447379727,2022-03-23 13:50:10,355566c3-6ee3-4491-a19c-5555f1733d6a,a0168c82-589b-458b-8855-e92ca46392d9
70ab41d8-0615-45ee-ba6a-de8c9b43d698,54fea194-4220-40ff-83dd-00c5a946dc25,2023-01-12 09:51:55,54fea194-4220-40ff-83dd-00c5a946dc25,2023-01-12 09:51:55,96470dd2-535c-4884-b49a-5b788ece4c47,3b571e79-abbc-4e43-9435-d5ba54dd99b1
7539db33-08b3-4d8e-9e76-5220209d26d6,54fea194-4220-40ff-83dd-00c5a946dc25,2022-01-18 15:34:16,54fea194-4220-40ff-83dd-00c5a946dc25,2022-01-18 15:34:16,355566c3-6ee3-4491-a19c-5555f1733d6a,938f3819-9189-43ce-b188-85bcb012c331
80c1cc80-09b3-4ff5-a55a-cd6c5d45c545,9e11456c-f0f6-48c7-9cbf-6f4447379727,2022-08-29 04:53:34,9e11456c-f0f6-48c7-9cbf-6f4447379727,2022-08-29 04:53:34,1244441b-1ac0-48f3-b96c-b56ba2e840ba,c1dc30a8-fa96-4a6d-8120-0af98f405e8c
88029fe1-ac21-4db4-a9cd-3941eb8f6cbc,9e11456c-f0f6-48c7-9cbf-6f4447379727,2022-02-24 12:28:48,9e11456c-f0f6-48c7-9cbf-6f4447379727,2022-02-24 12:28:48,bc6f91d4-59fb-4942-a046-d002ac538605,f859eff6-223d-4277-a65c-83c3362a8628
9907276b-5f4a-4c8f-bb10-8fc8b1691b2d,54fea194-4220-40ff-83dd-00c5a946dc25,2023-03-23 09:05:11,54fea194-4220-40ff-83dd-00c5a946dc25,2023-03-23 09:05:11,eea16b21-d94f-4add-a396-5bd9fbceb2a7,05f8d8d2-230e-4324-9b84-f961c384df3d
aaa74d31-d85e-4446-ba89-72cf999dcd60,54fea194-4220-40ff-83dd-00c5a946dc25,2022-01-18 14:38:42,54fea194-4220-40ff-83dd-00c5a946dc25,2022-01-18 14:38:42,81454c0e-3f07-4e50-b713-cfdc60973f52,f4e565b2-62ec-46d4-a51c-5efb9d6da0d9
bb7836bf-800f-4eec-842d-946ab3dcfa9f,54fea194-4220-40ff-83dd-00c5a946dc25,2023-03-22 11:52:42,54fea194-4220-40ff-83dd-00c5a946dc25,2023-03-22 11:52:42,2e3f9ba0-0d53-46ab-8497-7cff81a0ee13,de52d7ef-f834-424a-8fb3-7787a644227c
bd531493-ad55-4af8-ab53-b737e74dce76,9e11456c-f0f6-48c7-9cbf-6f4447379727,2022-03-23 13:51:30,9e11456c-f0f6-48c7-9cbf-6f4447379727,2022-03-23 13:51:30,355566c3-6ee3-4491-a19c-5555f1733d6a,82b60d69-e53c-4e66-abe5-a9ae1c89cded
c627165f-11af-4778-ba18-907038a0aea2,9e11456c-f0f6-48c7-9cbf-6f4447379727,2022-03-21 03:51:08,9e11456c-f0f6-48c7-9cbf-6f4447379727,2022-03-21 03:51:08,eea16b21-d94f-4add-a396-5bd9fbceb2a7,7f25876e-d17f-4ada-a081-c3abfd0cd250
e81d2af9-ac31-402e-a7b5-b953180467ce,4416aada-c580-4350-aed1-803fa7e7f93c,2025-04-16 07:03:24,4416aada-c580-4350-aed1-803fa7e7f93c,2025-04-16 07:03:24,96470dd2-535c-4884-b49a-5b788ece4c47,66061f3b-f0e1-48b1-b7e0-12e36794766b
ed93adfd-d22c-41ea-a279-d4bf378f1790,54fea194-4220-40ff-83dd-00c5a946dc25,2023-01-09 10:49:35,54fea194-4220-40ff-83dd-00c5a946dc25,2023-01-09 10:49:35,eea16b21-d94f-4add-a396-5bd9fbceb2a7,3d2bd703-8b72-4b44-93d5-b5219f91a443
f0f654c1-d4f2-41ed-85af-c7d2432547ff,9e11456c-f0f6-48c7-9cbf-6f4447379727,2022-03-24 09:46:19,9e11456c-f0f6-48c7-9cbf-6f4447379727,2022-03-24 09:46:19,eea16b21-d94f-4add-a396-5bd9fbceb2a7,9ee74e7d-3bb6-4a5d-b79b-c0bfbaa6ee48
fc2ca583-3618-4960-b5cb-0f0e28b64ac6,9e11456c-f0f6-48c7-9cbf-6f4447379727,2023-07-13 07:14:47,9e11456c-f0f6-48c7-9cbf-6f4447379727,2023-07-13 07:14:47,eea16b21-d94f-4add-a396-5bd9fbceb2a7,e7f75d40-abcb-4ba4-b873-bd73614e1cbb
