id,job_detail_id,recruiter_id,created_date,updated_date,created_by,updated_by
02e29b1f-8bda-4917-aef9-4414ee1b8d84,170f1b57-2e69-4f69-9f58-f1651ca1e9c4,01,2025-05-08 05:54:06,2025-05-08 05:54:06,01,01
05ab695b-ac68-4a8e-826f-983ca6bdb493,d36a0d37-9337-4b5d-bd7a-ee819291835b,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-05-09 05:48:37,2024-05-09 05:48:37,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
06423359-3438-41bb-a0e4-e57c4fe046f0,3292cfb9-6fe7-4a65-b387-0e9eeff69fac,476dee15-d552-4120-b525-30cb64f97eee,2023-08-04 13:44:46,2023-08-04 13:44:46,476dee15-d552-4120-b525-30cb64f97eee,476dee15-d552-4120-b525-30cb64f97eee
077c669c-7a02-4510-a9f1-853dbfc9e999,fad81864-cc48-4e76-acdf-594c9508363c,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-07-04 04:23:13,2024-07-04 04:23:13,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
08a2a694-da8e-44c2-bacd-10fca38b917e,86d1a2c9-ffe6-41ac-8ad8-943ddebd33c5,90dfd38a-26c0-4af5-9b00-72e614d11753,2023-06-14 12:09:01,2023-06-14 12:09:01,90dfd38a-26c0-4af5-9b00-72e614d11753,90dfd38a-26c0-4af5-9b00-72e614d11753
0e491203-35cd-48e3-8055-c3646a8e9ab3,6df1fcf4-c878-4e2a-86f0-67d88b657b38,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-06-14 05:19:02,2024-06-14 05:19:02,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
13bda85c-fb87-4a4e-8422-d1258ea26790,630cf651-bb81-4e17-b586-71370333468b,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-06-19 04:49:25,2024-06-19 04:49:25,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
16f2a396-d59c-4a28-9b3b-d25a00edb646,9de4f6ca-290b-4366-9a20-a7bb4ca0e62b,90dfd38a-26c0-4af5-9b00-72e614d11753,2023-06-14 12:09:42,2023-06-14 12:09:42,90dfd38a-26c0-4af5-9b00-72e614d11753,90dfd38a-26c0-4af5-9b00-72e614d11753
18fe872c-5e1b-456a-a68c-f441861f3246,561d761a-3417-49bf-9ef9-fa50dbf01465,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-04-24 04:06:31,2024-04-24 04:06:31,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
1b54b8aa-c7f1-4817-9458-c67196364283,4e4f3ece-a631-4fae-a2ca-83b0723283eb,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-08-27 11:17:58,2024-08-27 11:17:58,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
1dc8d707-1269-4a75-9200-04e7babf1c5e,f56a6228-5fa8-4e48-9755-5d651390cc0e,476dee15-d552-4120-b525-30cb64f97eee,2024-03-08 09:38:33,2024-03-08 09:38:33,476dee15-d552-4120-b525-30cb64f97eee,476dee15-d552-4120-b525-30cb64f97eee
1e29ae64-1a84-4ad3-8711-c51bf660d306,cf664234-ea73-44f6-9597-af9fdc220c48,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-06-26 06:47:58,2024-06-26 06:47:58,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
1e64ce32-f684-4186-8398-b622c5a1b55e,c33e547a-b10d-4f53-848b-ccaed693383b,476dee15-d552-4120-b525-30cb64f97eee,2023-06-27 06:19:58,2023-06-27 06:19:58,476dee15-d552-4120-b525-30cb64f97eee,476dee15-d552-4120-b525-30cb64f97eee
1f1c5278-2d21-42fd-bb68-0d4ace19b7d4,01e0db0c-c0df-43a1-86e2-5fecf418829f,476dee15-d552-4120-b525-30cb64f97eee,2023-08-01 05:23:13,2023-08-01 05:23:13,476dee15-d552-4120-b525-30cb64f97eee,476dee15-d552-4120-b525-30cb64f97eee
2252dc87-c208-4c02-aee2-9eb30088e161,56d3bcee-913b-4a0f-a0f3-b0a9626b24cb,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-07-05 09:58:26,2024-07-05 09:58:26,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
2314a862-3a49-4cca-8502-da21ffd37694,fba6e6ea-f6f8-4c80-88d3-bcefe674cfc6,90dfd38a-26c0-4af5-9b00-72e614d11753,2023-07-12 13:52:33,2023-07-12 13:52:33,90dfd38a-26c0-4af5-9b00-72e614d11753,90dfd38a-26c0-4af5-9b00-72e614d11753
2350e77a-e11b-4015-abef-673d983fb6c3,c54e1708-8e37-4655-bd97-77f0e6fbde88,01,2023-06-30 10:29:08,2023-06-30 10:29:08,01,01
28e25b06-bf1b-49d2-89ad-f8b64c06575b,126b1a35-090c-4696-87ed-abc805a97d0b,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-06-14 06:17:28,2024-06-14 06:17:28,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
29d0168d-4e23-40ba-a95e-bb67eccc7447,01bf8a5b-33ee-4997-a73c-a79a76131058,90dfd38a-26c0-4af5-9b00-72e614d11753,2023-05-11 14:46:45,2023-05-11 14:46:45,90dfd38a-26c0-4af5-9b00-72e614d11753,90dfd38a-26c0-4af5-9b00-72e614d11753
2fcbd140-7beb-44c0-80f8-9077e89d9dcf,9b9b5143-a0ed-444c-9280-bc564df43998,18c191bf-3acf-42b7-a6f9-269d629dd762,2023-07-28 06:56:05,2023-07-28 06:56:05,18c191bf-3acf-42b7-a6f9-269d629dd762,18c191bf-3acf-42b7-a6f9-269d629dd762
30038a9f-e113-411e-8d08-a1db53d777cc,38882b02-4ba2-41af-9d23-4a9eed70d932,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-03-14 12:35:51,2024-03-14 12:35:51,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
30d8b255-d02a-4f7f-a4d8-bfd30ab97807,4827edde-0434-4853-80ce-ff71b3ed0eb3,90dfd38a-26c0-4af5-9b00-72e614d11753,2023-06-14 10:09:05,2023-06-14 10:09:05,90dfd38a-26c0-4af5-9b00-72e614d11753,90dfd38a-26c0-4af5-9b00-72e614d11753
33339030-6952-4007-bede-53dbce818ded,d4fc995a-603b-42b0-8eb0-00ccc4caed55,90dfd38a-26c0-4af5-9b00-72e614d11753,2023-07-21 10:56:18,2023-07-21 10:56:18,90dfd38a-26c0-4af5-9b00-72e614d11753,90dfd38a-26c0-4af5-9b00-72e614d11753
337a3d84-2c8c-4095-8cf8-77954353dcc9,04731993-ecea-4eb1-9114-a2d30f85f9a7,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-04-24 07:13:07,2024-04-24 07:13:07,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
35c8723d-eb11-4318-a8c0-58b7dba59a7c,134442a5-5f67-40a8-a2fd-25efea7a7e50,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-04-19 05:28:19,2024-04-19 05:28:19,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
389c3f18-ca99-4ebe-bbac-9515dccecef7,e9f44b72-dd08-4607-8812-c982d966726a,476dee15-d552-4120-b525-30cb64f97eee,2023-07-11 11:12:02,2023-07-11 11:12:02,476dee15-d552-4120-b525-30cb64f97eee,476dee15-d552-4120-b525-30cb64f97eee
3d49be6b-efd2-401e-93f0-4545217f36fa,3292cfb9-6fe7-4a65-b387-0e9eeff69fac,18c191bf-3acf-42b7-a6f9-269d629dd762,2023-08-11 08:37:54,2023-08-11 08:37:54,18c191bf-3acf-42b7-a6f9-269d629dd762,18c191bf-3acf-42b7-a6f9-269d629dd762
406b987e-46e3-4776-9cc5-428d4f8ac080,1eaff26a-5fa6-4f94-bf8b-c49d7521aafb,90dfd38a-26c0-4af5-9b00-72e614d11753,2024-06-18 09:59:40,2024-06-18 09:59:40,90dfd38a-26c0-4af5-9b00-72e614d11753,90dfd38a-26c0-4af5-9b00-72e614d11753
40a0d8a6-742a-4742-a363-b1d6fef59ee4,0d7a612b-9910-4784-98bf-d0e7d38d85b3,476dee15-d552-4120-b525-30cb64f97eee,2024-06-12 06:45:08,2024-06-12 06:45:08,476dee15-d552-4120-b525-30cb64f97eee,476dee15-d552-4120-b525-30cb64f97eee
40d8f1bd-948a-4b2b-b855-e90014accda5,eb87cfa9-7775-46f4-adc0-5b49ade2cc25,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-08-27 10:56:31,2024-08-27 10:56:31,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
419f6edb-2da0-4951-abd9-a3ef8bb7b26e,ac2c9231-ea56-4931-91ef-0c7d7d2258ec,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2023-08-18 13:06:42,2023-08-18 13:06:42,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
4249d664-f99b-48f7-9ace-7a191470f211,a93ab54f-e822-487f-a666-64e521a7a40b,476dee15-d552-4120-b525-30cb64f97eee,2023-08-04 12:49:00,2023-08-04 12:49:00,476dee15-d552-4120-b525-30cb64f97eee,476dee15-d552-4120-b525-30cb64f97eee
436193c0-d3ad-40db-bddb-54b937401f6a,3292cfb9-6fe7-4a65-b387-0e9eeff69fac,90dfd38a-26c0-4af5-9b00-72e614d11753,2023-08-08 12:55:14,2023-08-08 12:55:14,90dfd38a-26c0-4af5-9b00-72e614d11753,90dfd38a-26c0-4af5-9b00-72e614d11753
44ffc524-dfb3-4c17-ac72-985ce1d4f1a3,ac2c9231-ea56-4931-91ef-0c7d7d2258ec,387fdf0c-e871-4984-8cb8-1e98a591b349,2023-08-21 06:54:18,2023-08-21 06:54:18,387fdf0c-e871-4984-8cb8-1e98a591b349,387fdf0c-e871-4984-8cb8-1e98a591b349
4c081b7e-c419-4820-95a8-a6d83faaf4ba,108e604c-0fb6-442c-9c0a-81c199745f6d,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-04-12 10:52:04,2024-04-12 10:52:04,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
4f96d98d-6959-4f30-9dae-66e8e7fede02,c8637554-4817-4baf-826c-d844d7a7d8f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-06-19 04:23:41,2024-06-19 04:23:41,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
4ff6e3eb-19f0-4bad-99e6-c6f9e71fd31c,00a19bb0-189c-442e-afee-3eef3a97801c,90dfd38a-26c0-4af5-9b00-72e614d11753,2023-08-08 05:17:06,2023-08-08 05:17:06,90dfd38a-26c0-4af5-9b00-72e614d11753,90dfd38a-26c0-4af5-9b00-72e614d11753
578e1dc5-ffb4-4be4-bedf-635e1cccbef9,429f0123-a4ef-4acf-9129-c6dbb5d31458,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2023-08-24 05:42:34,2023-08-24 05:42:34,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
5841135c-d56b-4d3a-95c0-4cd3df22dd34,ccdc6a00-5d0e-46a3-b983-dc040391e03b,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-07-04 03:55:59,2024-07-04 03:55:59,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
5a94e093-3831-4df9-bdec-b45ca37adaf8,d4d8a0fe-0557-4d2f-a386-b2e919571e4c,c179221f-1192-4f72-b733-e71006f45b42,2024-06-12 07:01:48,2024-06-12 07:01:48,c179221f-1192-4f72-b733-e71006f45b42,c179221f-1192-4f72-b733-e71006f45b42
5ce327b5-2f91-4139-885a-224c365fa9b2,9abffccb-7537-4f93-9f33-fa5bfc9da980,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2023-08-18 12:19:45,2023-08-18 12:19:45,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
5d48dfd7-b5cb-4520-89b3-07c6fd52ea6c,9367f9d0-adae-4e9f-b713-ad257d12a039,90dfd38a-26c0-4af5-9b00-72e614d11753,2023-06-14 12:10:29,2023-06-14 12:10:29,90dfd38a-26c0-4af5-9b00-72e614d11753,90dfd38a-26c0-4af5-9b00-72e614d11753
5fee44c5-6205-4f92-8fd2-10e6df7c8f1d,86d1a2c9-ffe6-41ac-8ad8-943ddebd33c5,476dee15-d552-4120-b525-30cb64f97eee,2023-06-30 11:58:13,2023-06-30 11:58:13,476dee15-d552-4120-b525-30cb64f97eee,476dee15-d552-4120-b525-30cb64f97eee
6048d535-3ddd-4053-af3d-5e7933bb3aad,0a41a9ac-383a-4bca-a48e-2ab9acf98421,90dfd38a-26c0-4af5-9b00-72e614d11753,2023-08-03 14:12:25,2023-08-03 14:12:25,90dfd38a-26c0-4af5-9b00-72e614d11753,90dfd38a-26c0-4af5-9b00-72e614d11753
616c479a-465b-4f38-8bb3-56628d772fc8,163cb3d1-5617-4f58-ba89-77569c13ee0f,89f1e714-f065-42a8-b5fd-6fa395263257,2023-07-28 09:52:37,2023-07-28 09:52:37,89f1e714-f065-42a8-b5fd-6fa395263257,89f1e714-f065-42a8-b5fd-6fa395263257
66ec8508-a48e-4f04-94fa-7ccb505713de,c33e547a-b10d-4f53-848b-ccaed693383b,90dfd38a-26c0-4af5-9b00-72e614d11753,2023-06-30 08:59:51,2023-06-30 08:59:51,90dfd38a-26c0-4af5-9b00-72e614d11753,90dfd38a-26c0-4af5-9b00-72e614d11753
6a61d84d-24c0-414b-a33e-b3058ec473a6,b1eabe48-ae2c-4a9c-bed7-8a5e65bf6887,18c191bf-3acf-42b7-a6f9-269d629dd762,2023-08-11 08:37:50,2023-08-11 08:37:50,18c191bf-3acf-42b7-a6f9-269d629dd762,18c191bf-3acf-42b7-a6f9-269d629dd762
6cb989d2-d15a-4834-91b5-41ea67161515,aad187d9-dcda-40f7-aad3-687bbe8b63c1,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-03-14 12:28:56,2024-03-14 12:28:56,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
727b33cb-0ce6-450c-90b1-4c89712e6dd4,506cce63-663d-4390-b313-149cb5630551,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-04-12 11:21:47,2024-04-12 11:21:47,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
74702c75-1941-40ae-87a6-78d5d4d55a5c,8a200ec8-24eb-4606-a5ff-35714de9c7c9,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-06-06 05:30:49,2024-06-06 05:30:49,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
7474b0d5-af72-4aab-8c09-3dda5642081f,804a44e7-7b23-4eba-bdaa-619fe80ccbf5,476dee15-d552-4120-b525-30cb64f97eee,2024-02-26 11:23:02,2024-02-26 11:23:02,476dee15-d552-4120-b525-30cb64f97eee,476dee15-d552-4120-b525-30cb64f97eee
75b45d69-2b25-4e79-a156-6a48e8ed6907,0d7a612b-9910-4784-98bf-d0e7d38d85b3,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-04-24 08:55:06,2024-04-24 08:55:06,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
79739fb3-f7bc-4b3f-9a9b-853d9110f834,18638b2c-7085-4dfd-a710-4f57ac508dab,61703f25-0098-4ed7-bc9f-e8f65e8953f8,2024-07-05 11:01:18,2024-07-05 11:01:18,61703f25-0098-4ed7-bc9f-e8f65e8953f8,61703f25-0098-4ed7-bc9f-e8f65e8953f8
7be69757-023d-49eb-84f0-7d3432414487,89b79caa-fa9f-44f1-aa47-7c30b351c915,90dfd38a-26c0-4af5-9b00-72e614d11753,2023-06-14 11:22:25,2023-06-14 11:22:25,90dfd38a-26c0-4af5-9b00-72e614d11753,90dfd38a-26c0-4af5-9b00-72e614d11753
7c979942-b025-48ad-8033-94c0dbdd2473,0141b21e-7f74-4822-9af5-8a5c46f3ffa2,90dfd38a-26c0-4af5-9b00-72e614d11753,2023-08-07 11:47:32,2023-08-07 11:47:32,90dfd38a-26c0-4af5-9b00-72e614d11753,90dfd38a-26c0-4af5-9b00-72e614d11753
